タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:OperatingIncomeFromRelatedOperationsHighwayBusinessHWY,関連事業営業利益又は関連事業営業損失（△）、高速道路事業,Operating profit (loss) from related operations,Operating profit (loss) from related operations - HWY
jppfs_cor:OperatingRevenue1,営業収益,Operating revenue,Operating revenue-1
jppfs_cor:OperatingExpensesAbstract,営業費用 [タイトル項目],Operating expenses,Operating expenses [abstract]
jppfs_cor:AdministrationCostsOfHighwayBusinessAndCostOfSalesOperatingExpensesHWY,高速道路等事業管理費及び売上原価、営業費用、高速道路事業,Administration costs of highway business and cost of sales,Administration costs of highway business and cost of sales-operating expenses-HWY
jppfs_cor:SellingGeneralAndAdministrativeExpenses,販売費及び一般管理費,"Selling, general and administrative expenses","Selling, general and administrative expenses"
jppfs_cor:OperatingExpenses,営業費用,Operating expenses,Operating expenses
jppfs_cor:OperatingIncomeTotalBusiness,全事業営業利益又は全事業営業損失（△）,Operating profit (loss) - total business,Operating profit (loss) - total business
jppfs_cor:NonOperatingIncomeAbstract,営業外収益 [タイトル項目],Non-operating income,Non-operating income [abstract]
jppfs_cor:InterestIncomeNOI,受取利息、営業外収益,Interest income,Interest income-NOI
jppfs_cor:InterestOnSecuritiesNOI,有価証券利息、営業外収益,Interest on securities,Interest on securities-NOI
jppfs_cor:DividendsIncomeNOI,受取配当金、営業外収益,Dividend income,Dividend income-NOI
jppfs_cor:GainOnSalesOfSecuritiesNOI,有価証券売却益、営業外収益,Gain on sales of securities,Gain on sales of securities-NOI
jppfs_cor:GainOnValuationOfSecuritiesNOI,有価証券評価益、営業外収益,Gain on valuation of securities,Gain on valuation of securities-NOI
jppfs_cor:GainOnSalesOfGoodsNOI,物品売却益、営業外収益,Gain on sales of goods,Gain on sales of goods-NOI
jppfs_cor:RevenueLandRentNOIHWY,土地物件貸付料、営業外収益、高速道路事業,Revenue - land rent,Revenue-land rent-NOI-HWY
jppfs_cor:IncomeFromCausativePersonNOIHWY,原因者負担収入、営業外収益、高速道路事業,Income from causative person,Income from causative person-NOI-HWY
jppfs_cor:MiscellaneousIncomeNOI,雑収入、営業外収益,Miscellaneous income,Miscellaneous income-NOI
jppfs_cor:NonOperatingIncome,営業外収益,Non-operating income,Non-operating income
jppfs_cor:NonOperatingExpensesAbstract,営業外費用 [タイトル項目],Non-operating expenses,Non-operating expenses [abstract]
jppfs_cor:InterestExpensesNOE,支払利息、営業外費用,Interest expenses,Interest expenses-NOE
jppfs_cor:InterestOnBondsNOE,社債利息、営業外費用,Interest on bonds,Interest on bonds-NOE
jppfs_cor:AmortizationOfStockIssuanceCostNOE,株式交付費償却、営業外費用,Amortization of share issuance cost,Amortization of share issuance cost-NOE
jppfs_cor:AmortizationOfBondIssuanceCostNOE,社債発行費償却、営業外費用,Amortization of bond issuance cost,Amortization of bond issuance cost-NOE
jppfs_cor:AmortizationOfDeferredOrganizationExpensesNOE,創立費償却、営業外費用,Amortization of deferred organization expenses,Amortization of deferred organization expenses-NOE
jppfs_cor:AmortizationOfBusinessCommencementExpensesNOE,開業費償却、営業外費用,Amortization of business commencement expenses,Amortization of business commencement expenses-NOE
jppfs_cor:AmortizationOfDevelopmentExpensesNOE,開発費償却、営業外費用,Amortization of development expenses,Amortization of development expenses-NOE
jppfs_cor:LossOnSalesOfSecuritiesNOE,有価証券売却損、営業外費用,Loss on sales of securities,Loss on sales of securities-NOE
jppfs_cor:LossOnValuationOfSecuritiesNOE,有価証券評価損、営業外費用,Loss on valuation of securities,Loss on valuation of securities-NOE
jppfs_cor:MiscellaneousLossNOE,雑損失、営業外費用,Miscellaneous loss,Miscellaneous loss-NOE
jppfs_cor:NonOperatingExpenses,営業外費用,Non-operating expenses,Non-operating expenses
jppfs_cor:OrdinaryIncome,経常利益又は経常損失（△）,Ordinary profit (loss),Ordinary profit (loss)
jppfs_cor:ExtraordinaryIncomeAbstract,特別利益 [タイトル項目],Extraordinary income,Extraordinary income [abstract]
jppfs_cor:GainOnSalesOfNoncurrentAssetsEI,固定資産売却益、特別利益,Gain on sales of non-current assets,Gain on sales of non-current assets-EI
jppfs_cor:OtherEI,その他、特別利益,Other,Other-EI
jppfs_cor:ExtraordinaryIncome,特別利益,Extraordinary income,Extraordinary income
jppfs_cor:ExtraordinaryLossAbstract,特別損失 [タイトル項目],Extraordinary losses,Extraordinary losses [abstract]
jppfs_cor:LossOnSalesOfNoncurrentAssetsEL,固定資産売却損、特別損失,Loss on sales of non-current assets,Loss on sales of non-current assets-EL
jppfs_cor:LossOnRetirementOfNoncurrentAssetsEL,固定資産除却損、特別損失,Loss on retirement of non-current assets,Loss on retirement of non-current assets-EL
jppfs_cor:ImpairmentLossEL,減損損失、特別損失,Impairment loss,Impairment loss-EL
jppfs_cor:NonrecurringLossEL,臨時損失、特別損失,Nonrecurring loss,Nonrecurring loss-EL
jppfs_cor:LossOnForgedHighwayCardELHWY,偽造ハイウェイカード損失、特別損失、高速道路事業,Loss on forged highway card,Loss on forged highway card-EL-HWY
jppfs_cor:OtherEL,その他、特別損失,Other,Other-EL
jppfs_cor:ExtraordinaryLoss,特別損失,Extraordinary losses,Extraordinary losses
jppfs_cor:IncomeBeforeIncomeTaxes,税引前当期純利益又は税引前当期純損失（△）,Profit (loss) before income taxes,Profit (loss) before income taxes
jppfs_cor:IncomeTaxes,法人税等,Income taxes,Income taxes
jppfs_cor:IncomeTaxesCurrent,法人税、住民税及び事業税,Income taxes - current,Income taxes-current
jppfs_cor:IncomeTaxesDeferred,法人税等調整額,Income taxes - deferred,Income taxes-deferred
jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Profit (loss),Profit (loss) (after amendment dated 2014-03-28)
jppfs_cor:ProfitAttributableToAbstract,内訳、当期純利益 [タイトル項目],Profit attributable to,Profit attributable to [abstract]
jppfs_cor:ProfitLossAttributableToNonControllingInterests,非支配株主に帰属する当期純利益又は非支配株主に帰属する当期純損失（△）,Profit (loss) attributable to non-controlling interests,Profit (loss) attributable to non-controlling interests
jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,Profit (loss) attributable to owners of parent,Profit (loss) attributable to owners of parent
nan,,,
nan,,,
名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:StatementOfChangesInEquityAbstract,株主資本等変動計算書 [タイトル項目],Statement of changes in equity,Statement of changes in equity [abstract]
jppfs_cor:StatementOfChangesInEquityTable,株主資本等変動計算書 [表],Statement of changes in equity,Statement of changes in equity [table]
jppfs_cor:ComponentsOfEquityAxis,純資産の内訳項目 [軸],Components of equity,Components of equity [axis]
jppfs_cor:NetAssetsMember,純資産 [メンバー],Net assets,Net assets [member]
jppfs_cor:ShareholdersEquityMember,株主資本 [メンバー],Shareholders' equity,Shareholders' equity [member]
jppfs_cor:CapitalStockMember,資本金 [メンバー],Capital stock,Capital stock [member]
jppfs_cor:CapitalSurplusMember,資本剰余金 [メンバー],Capital surplus,Capital surplus [member]
jppfs_cor:LegalCapitalSurplusMember,資本準備金 [メンバー],Legal capital surplus,Legal capital surplus [member]
jppfs_cor:OtherCapitalSurplusMember,その他資本剰余金 [メンバー],Other capital surplus,Other capital surplus [member]
jppfs_cor:RetainedEarningsMember,利益剰余金 [メンバー],Retained earnings,Retained earnings [member]
jppfs_cor:LegalRetainedEarningsMember,利益準備金 [メンバー],Legal retained earnings,Legal retained earnings [member]
jppfs_cor:OtherRetainedEarningsMember,その他利益剰余金 [メンバー],Other retained earnings,Other retained earnings [member]
jppfs_cor:RetainedEarningsBroughtForwardMember,繰越利益剰余金 [メンバー],Retained earnings brought forward,Retained earnings brought forward [member]
jppfs_cor:TreasuryStockMember,自己株式 [メンバー],Treasury shares,Treasury shares [member]
jppfs_cor:ValuationAndTranslationAdjustmentsMember,評価・換算差額等 [メンバー],Valuation and translation adjustments,Valuation and translation adjustments [member]
jppfs_cor:ValuationDifferenceOnAvailableForSaleSecuritiesMember,その他有価証券評価差額金 [メンバー],Valuation difference on available-for-sale securities,Valuation difference on available-for-sale securities [member]
jppfs_cor:DeferredGainsOrLossesOnHedgesMember,繰延ヘッジ損益 [メンバー],Deferred gains or losses on hedges,Deferred gains or losses on hedges [member]
jppfs_cor:RevaluationReserveForLandMember,土地再評価差額金 [メンバー],Revaluation reserve for land,Revaluation reserve for land [member]
jppfs_cor:ForeignCurrencyTranslationAdjustmentMember,為替換算調整勘定 [メンバー],Foreign currency translation adjustment,Foreign currency translation adjustment [member]
jppfs_cor:SubscriptionRightsToSharesMember,新株予約権 [メンバー],Share acquisition rights,Share acquisition rights [member]
jppfs_cor:NonControllingInterestsMember,非支配株主持分 [メンバー],Non-controlling interests,Non-controlling interests [member]
jppfs_cor:StatementOfChangesInEquityLineItems,株主資本等変動計算書 [表示項目],Statement of changes in equity,Statement of changes in equity [line items]
jppfs_cor:NetAssets,純資産,Net assets,Net assets
jppfs_cor:ChangesOfItemsDuringThePeriodAbstract,当期変動額 [タイトル項目],Changes of items during period,Changes of items during period [abstract]
jppfs_cor:IssuanceOfNewShares,新株の発行,Issuance of new shares,Issuance of new shares
jppfs_cor:DividendsFromSurplus,剰余金の配当,Dividends of surplus,Dividends of surplus
jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,Profit (loss) attributable to owners of parent,Profit (loss) attributable to owners of parent
jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Profit (loss),Profit (loss) (after amendment dated 2014-03-28)
jppfs_cor:DisposalOfTreasuryStock,自己株式の処分,Disposal of treasury shares,Disposal of treasury shares
jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,Net changes of items other than shareholders' equity,Net changes of items other than shareholders' equity
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Total changes of items during period,Total changes of items during period
nan,,,
nan,,,
名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:StatementOfCashFlowsAbstract,キャッシュ・フロー計算書 [タイトル項目],Statement of cash flows,Statement of cash flows [abstract]
jppfs_cor:StatementOfCashFlowsTable,キャッシュ・フロー計算書 [表],Statement of cash flows,Statement of cash flows [table]
jppfs_cor:StatementOfCashFlowsLineItems,キャッシュ・フロー計算書 [表示項目],Statement of cash flows,Statement of cash flows [line items]
jppfs_cor:NetCashProvidedByUsedInOperatingActivitiesAbstract,営業活動によるキャッシュ・フロー [タイトル項目],Cash flows from operating activities,Cash flows from operating activities [abstract]
jppfs_cor:SubtotalOpeCF,小計、営業活動によるキャッシュ・フロー,Subtotal,Subtotal-OpeCF
jppfs_cor:OperatingIncomeOpeCF,営業収入、営業活動によるキャッシュ・フロー,Receipts from operating revenue,Receipts from operating revenue - OpeCF
jppfs_cor:PaymentsForRawMaterialsAndGoodsOpeCF,原材料又は商品の仕入れによる支出、営業活動によるキャッシュ・フロー,Payments for raw materials and goods,Payments for raw materials and goods-OpeCF
jppfs_cor:PaymentsForPayrollOpeCF,人件費の支出、営業活動によるキャッシュ・フロー,Payments for personnel expenses,Payments for personnel expenses-OpeCF
jppfs_cor:PaymentsForOtherOperatingActivityOpeCF,その他の営業支出、営業活動によるキャッシュ・フロー,Payments for other operating activity,Payments for other operating activity-OpeCF
jppfs_cor:IncomeBeforeIncomeTaxes,税引前当期純利益又は税引前当期純損失（△）,Profit (loss) before income taxes,Profit (loss) before income taxes
jppfs_cor:DepreciationOfHighwayNoncurrentAssetsOpeCFHWY,高速道路事業固定資産減価償却費、営業活動によるキャッシュ・フロー、高速道路事業,Depreciation of highway non-current assets,Depreciation of highway non-current assets-OpeCF-HWY
jppfs_cor:DepreciationOfRelatedNoncurrentAssetsOpeCFHWY,関連事業固定資産減価償却費、営業活動によるキャッシュ・フロー、高速道路事業,Depreciation of related non-current assets,Depreciation of related non-current assets-OpeCF-HWY
jppfs_cor:DepreciationOfAffiliatedNoncurrentAssetsOpeCFHWY,各事業共用固定資産減価償却費、営業活動によるキャッシュ・フロー、高速道路事業,Depreciation of affiliated non-current assets,Depreciation of affiliated non-current assets-OpeCF-HWY
jppfs_cor:ImpairmentLossOpeCF,減損損失、営業活動によるキャッシュ・フロー,Impairment loss,Impairment loss-OpeCF
jppfs_cor:IncreaseDecreaseInAllowanceForDoubtfulAccountsOpeCF,貸倒引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,Increase (decrease) in allowance for doubtful accounts,Increase (decrease) in allowance for doubtful accounts-OpeCF
jppfs_cor:IncreaseDecreaseInProvisionForRetirementBenefitsOpeCF,退職給付引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,Increase (decrease) in provision for retirement benefits,Increase (decrease) in provision for retirement benefits-OpeCF
jppfs_cor:IncreaseDecreaseInProvisionForBonusesOpeCF,賞与引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,Increase (decrease) in provision for bonuses,Increase (decrease) in provision for bonuses-OpeCF
jppfs_cor:IncreaseDecreaseInProvisionForETCMileageServiceOpeCFHWY,ETCマイレージサービス引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー、高速道路事業,Increase (decrease) in provision for ETC mileage service,Increase (decrease) in provision for ETC mileage service-OpeCF-HWY
jppfs_cor:InterestAndDividendsIncomeOpeCF,受取利息及び受取配当金、営業活動によるキャッシュ・フロー,Interest and dividend income,Interest and dividend income-OpeCF
jppfs_cor:InterestExpensesOpeCF,支払利息、営業活動によるキャッシュ・フロー,Interest expenses,Interest expenses-OpeCF
jppfs_cor:GainOnSalesOfAffiliatedNoncurrentAssetsOpeCFHWY,各事業共用固定資産売却益、営業活動によるキャッシュ・フロー、高速道路事業,Gain on sales of affiliated non-current assets,Gain on sales of affiliated non-current assets-OpeCF-HWY
jppfs_cor:LossOnRetirementOfHighwayNoncurrentAssetsOpeCFHWY,高速道路事業固定資産除却費、営業活動によるキャッシュ・フロー、高速道路事業,Loss on retirement of highway non-current assets,Loss on retirement of highway non-current assets-OpeCF-HWY
jppfs_cor:LossOnRetirementOfRelatedNoncurrentAssetsOpeCFHWY,関連事業固定資産除却費、営業活動によるキャッシュ・フロー、高速道路事業,Loss on retirement of related non-current assets,Loss on retirement of related non-current assets-OpeCF-HWY
jppfs_cor:DecreaseIncreaseInNotesAndAccountsReceivableTradeOpeCF,売上債権の増減額（△は増加）、営業活動によるキャッシュ・フロー,Decrease (increase) in notes and accounts receivable - trade,Decrease (increase) in notes and accounts receivable-trade-OpeCF
jppfs_cor:DecreaseIncreaseInInventoriesOpeCF,たな卸資産の増減額（△は増加）、営業活動によるキャッシュ・フロー,Decrease (increase) in inventories,Decrease (increase) in inventories-OpeCF
jppfs_cor:IncreaseDecreaseInNotesAndAccountsPayableTradeOpeCF,仕入債務の増減額（△は減少）、営業活動によるキャッシュ・フロー,Increase (decrease) in notes and accounts payable - trade,Increase (decrease) in notes and accounts payable-trade-OpeCF
jppfs_cor:DecreaseIncreaseInOtherAssetsOpeCF,その他の資産の増減額（△は増加）、営業活動によるキャッシュ・フロー,Decrease (increase) in other assets,Decrease (increase) in other assets-OpeCF
jppfs_cor:IncreaseDecreaseInOtherLiabilitiesOpeCF,その他の負債の増減額（△は減少）、営業活動によるキャッシュ・フロー,Increase (decrease) in other liabilities,Increase (decrease) in other liabilities-OpeCF
jppfs_cor:OtherNetOpeCF,その他、営業活動によるキャッシュ・フロー,"Other, net","Other, net-OpeCF"
jppfs_cor:InterestAndDividendsIncomeReceivedOpeCFInvCF,利息及び配当金の受取額、営業活動によるキャッシュ・フロー又は投資活動によるキャッシュ・フロー,Interest and dividend income received,Interest and dividend income received-OpeCF/InvCF
jppfs_cor:IncomeTaxesPaidOpeCF,法人税等の支払額、営業活動によるキャッシュ・フロー,Income taxes paid,Income taxes paid-OpeCF
jppfs_cor:NetCashProvidedByUsedInOperatingActivities,営業活動によるキャッシュ・フロー,Net cash provided by (used in) operating activities,Net cash provided by (used in) operating activities
jppfs_cor:NetCashProvidedByUsedInInvestmentActivitiesAbstract,投資活動によるキャッシュ・フロー [タイトル項目],Cash flows from investing activities,Cash flows from investing activities [abstract]
jppfs_cor:PurchaseOfHighwayNoncurrentAssetsInvCFHWY,高速道路事業固定資産の取得による支出、投資活動によるキャッシュ・フロー、高速道路事業,Purchase of highway non-current assets,Purchase of highway non-current assets-InvCF-HWY
jppfs_cor:PurchaseOfRelatedNoncurrentAssetsInvCFHWY,関連事業固定資産の取得による支出、投資活動によるキャッシュ・フロー、高速道路事業,Purchase of related non-current assets,Purchase of related non-current assets-InvCF-HWY
jppfs_cor:PurchaseOfAffiliatedNoncurrentAssetsInvCFHWY,各事業共用固定資産の取得による支出、投資活動によるキャッシュ・フロー、高速道路事業,Purchase of affiliated non-current assets,Purchase of affiliated non-current assets-InvCF-HWY
jppfs_cor:ProceedsFromSalesOfAffiliatedNoncurrentAssetsInvCFHWY,各事業共用固定資産の売却による収入、投資活動によるキャッシュ・フロー、高速道路事業,Proceeds from sales of affiliated non-current assets,Proceeds from sales of affiliated non-current assets-InvCF-HWY
jppfs_cor:PurchaseOfInvestmentSecuritiesInvCF,投資有価証券の取得による支出、投資活動によるキャッシュ・フロー,Purchase of investment securities,Purchase of investment securities-InvCF
jppfs_cor:ProceedsFromSalesOfInvestmentSecuritiesInvCF,投資有価証券の売却による収入、投資活動によるキャッシュ・フロー,Proceeds from sales of investment securities,Proceeds from sales of investment securities-InvCF
jppfs_cor:OtherNetInvCF,その他、投資活動によるキャッシュ・フロー,"Other, net","Other, net-InvCF"
jppfs_cor:NetCashProvidedByUsedInInvestmentActivities,投資活動によるキャッシュ・フロー,Net cash provided by (used in) investing activities,Net cash provided by (used in) investing activities
jppfs_cor:NetCashProvidedByUsedInFinancingActivitiesAbstract,財務活動によるキャッシュ・フロー [タイトル項目],Cash flows from financing activities,Cash flows from financing activities [abstract]
jppfs_cor:ProceedsFromIssuanceOfRoadBuildingBondsFinCFHWY,道路建設関係社債発行による収入、財務活動によるキャッシュ・フロー、高速道路事業,Proceeds from issuance of road-building bonds,Proceeds from issuance of road-building bonds-FinCF-HWY
jppfs_cor:RedemptionOfRoadBuildingBondsFinCFHWY,道路建設関係社債償還による支出、財務活動によるキャッシュ・フロー、高速道路事業,Redemption of road-building bonds,Redemption of road-building bonds-FinCF-HWY
jppfs_cor:ProceedsFromIssuanceOfOtherBondsFinCFHWY,その他の社債発行による収入、財務活動によるキャッシュ・フロー、高速道路事業,Proceeds from issuance of other bonds,Proceeds from issuance of other bonds-FinCF-HWY
jppfs_cor:RedemptionOfOtherBondsFinCFHWY,その他の社債償還による支出、財務活動によるキャッシュ・フロー、高速道路事業,Redemption of other bonds,Redemption of other bonds-FinCF-HWY
jppfs_cor:ProceedsFromLongTermLoansPayableFinCF,長期借入れによる収入、財務活動によるキャッシュ・フロー,Proceeds from long-term loans payable,Proceeds from long-term loans payable-FinCF
jppfs_cor:RepaymentOfLongTermLoansPayableFinCF,長期借入金の返済による支出、財務活動によるキャッシュ・フロー,Repayments of long-term loans payable,Repayments of long-term loans payable-FinCF
jppfs_cor:CashDividendsPaidFinCF,配当金の支払額、財務活動によるキャッシュ・フロー,Cash dividends paid,Cash dividends paid-FinCF
jppfs_cor:OtherNetFinCF,その他、財務活動によるキャッシュ・フロー,"Other, net","Other, net-FinCF"
jppfs_cor:NetCashProvidedByUsedInFinancingActivities,財務活動によるキャッシュ・フロー,Net cash provided by (used in) financing activities,Net cash provided by (used in) financing activities
jppfs_cor:EffectOfExchangeRateChangeOnCashAndCashEquivalents,現金及び現金同等物に係る換算差額,Effect of exchange rate change on cash and cash equivalents,Effect of exchange rate change on cash and cash equivalents
jppfs_cor:NetIncreaseDecreaseInCashAndCashEquivalents,現金及び現金同等物の増減額（△は減少）,Net increase (decrease) in cash and cash equivalents,Net increase (decrease) in cash and cash equivalents
jppfs_cor:CashAndCashEquivalents,現金及び現金同等物の残高,Cash and cash equivalents,Cash and cash equivalents
