,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
167,jppfs_cor:InternalCombustionEnginePowerProductionExpensesOEElectricELE,内燃力発電費、電気事業営業費用、電気事業,Internal combustion engine power production expenses,Internal combustion engine power production expenses-OE-electric-ELE
168,jppfs_cor:RenewablePowerProductionExpensesOEElectricELE,新エネルギー等発電費、電気事業営業費用、電気事業,Renewable power production expenses,Renewable power production expenses-OE-electric-ELE
169,jppfs_cor:PurchasedPowerFromOtherUtilitiesOEElectricELE,地帯間購入電力料、電気事業営業費用、電気事業,Purchased power from other utilities,Purchased power from other utilities-OE-electric-ELE
170,jppfs_cor:PurchasedPowerFromOtherSuppliersOEElectricELE,他社購入電力料、電気事業営業費用、電気事業,Purchased power from other suppliers,Purchased power from other suppliers-OE-electric-ELE
171,jppfs_cor:TransmissionExpensesOEElectricELE,送電費、電気事業営業費用、電気事業,Transmission expenses,Transmission expenses-OE-electric-ELE
172,jppfs_cor:TransformationExpensesOEElectricELE,変電費、電気事業営業費用、電気事業,Transformation expenses,Transformation expenses-OE-electric-ELE
173,jppfs_cor:DistributionExpensesOEElectricELE,配電費、電気事業営業費用、電気事業,Distribution expenses,Distribution expenses-OE-electric-ELE
174,jppfs_cor:SellingExpensesOEElectricELE,販売費、電気事業営業費用、電気事業,Selling expenses,Selling expenses-OE-electric-ELE
175,jppfs_cor:InactiveFacilitiesExpensesOEElectricELE,休止設備費、電気事業営業費用、電気事業,Inactive facilities expenses,Inactive facilities expenses-OE-electric-ELE
176,jppfs_cor:CostOfLoanedFacilitiesOEElectricELE,貸付設備費、電気事業営業費用、電気事業,Cost of loaned facilities,Cost of loaned facilities-OE-electric-ELE
177,jppfs_cor:GeneralAndAdministrativeExpensesOEElectricELE,一般管理費、電気事業営業費用、電気事業,General and administrative expenses,General and administrative expenses-OE-electric-ELE
178,jppfs_cor:ExpensesForThirdPartysPowerTransmissionServiceOEElectricELE,接続供給託送料、電気事業営業費用、電気事業,Expenses for third party's power transmission service,Expenses for third party's power transmission service - OE - electric - ELE
179,jppfs_cor:AmortizationOfSuspenseAccountRelatedToNuclearPowerDecommissioningOEElectricELE,原子力廃止関連仮勘定償却費、電気事業営業費用、電気事業,Amortization of special account related to nuclear power decommissioning,Amortization of special account related to nuclear power decommissioning - OE - electric - ELE
180,jppfs_cor:LevyUnderActOnPurchaseOfRenewableEnergySourcedElectricityOEElectricELE,再エネ特措法納付金、電気事業営業費用、電気事業,Levy under Act on Purchase of Renewable Energy Sourced Electricity,Levy under Act on Purchase of Renewable Energy Sourced Electricity-OE-electric-ELE
181,jppfs_cor:ExpensesIncurredByContractsToBearBackEndCostsRelatedToPastYearsPowerGenerationOEElectricELE,使用済燃料再処理等既発電費支払契約締結分、電気事業営業費用、電気事業,Expenses incurred by contracts to bear back-end costs related to past years' power generation,Expenses incurred by contracts to bear back-end costs related to past years' power generation - OE - electric - ELE
182,jppfs_cor:ElectricPowerDevelopmentPromotionTaxOEElectricELE,電源開発促進税、電気事業営業費用、電気事業,Electric power development promotion tax,Electric power development promotion tax-OE-electric-ELE
183,jppfs_cor:EnterpriseTaxOEElectricELE,事業税、電気事業営業費用、電気事業,Enterprise tax,Enterprise tax-OE-electric-ELE
184,jppfs_cor:DevelopmentExpensesOEELE,開発費、電気事業営業費用、電気事業,Development expenses,Development expenses-OE-electric-ELE
185,jppfs_cor:AmortizationOfDevelopmentExpensesOEELE,開発費償却、電気事業営業費用、電気事業,Amortization of development expenses,Amortization of development expenses-OE-electric-ELE
186,jppfs_cor:TransferredCostOfElectricityForConstructionAndIncidentalBusinessOEElectricELE,電力費振替勘定（貸方）、電気事業営業費用、電気事業,Transferred cost of electricity for construction and incidental business,Transferred cost of electricity for construction and incidental business-OE-electric-ELE
187,jppfs_cor:CommunicatingExpensesOEElectricELE,通信費、電気事業営業費用、電気事業,Communicating expenses,Communicating expenses-OE-electric-ELE
188,jppfs_cor:CostOfSalesOEElectricELE,売上原価、電気事業営業費用、電気事業,Cost of sales,Cost of sales-OE-electric-ELE
189,jppfs_cor:IncidentalBusinessOperatingExpensesELE,附帯事業営業費用、電気事業,Incidental business operating expenses,Incidental business operating expenses-ELE
190,jppfs_cor:OperatingExpensesOtherBusinessesOEIncidentalELE,その他附帯事業営業費用、附帯事業営業費用、電気事業,Operating expenses - other businesses,Operating expenses-other businesses-OE-incidental-ELE
191,jppfs_cor:OperatingExpensesGasSupplyBusinessOEElectricELE,ガス供給事業営業費用、附帯事業営業費用、電気事業,Operating expenses - gas supply business,Operating expenses-gas supply business-OE-incidental-ELE
192,jppfs_cor:OperatingExpensesHeatSupplyBusinessOEIncidentalELE,熱供給事業営業費用、附帯事業営業費用、電気事業,Operating expenses - heat supply business,Operating expenses-heat supply business-OE-incidental-ELE
193,jppfs_cor:OperatingExpensesElectricWaterHeaterLeaseBusinessOEIncidentalELE,電気温水器賃貸事業営業費用、附帯事業営業費用、電気事業,Operating expenses - electric water heater lease business,Operating expenses-electric water heater lease business-OE-incidental-ELE
194,jppfs_cor:OperatingExpensesRealEstateRentBusinessOEIncidentalELE,不動産賃貸事業営業費用、附帯事業営業費用、電気事業,Operating expenses - real estate rent business,Operating expenses-real estate rent business-OE-incidental-ELE
195,jppfs_cor:OperatingExpensesRealEstateManagementBusinessOEIncidentalELE,不動産管理事業営業費用、附帯事業営業費用、電気事業,Operating expenses - real estate management business,Operating expenses-real estate management business-OE-incidental-ELE
196,jppfs_cor:OperatingExpensesConsultingBusinessOEIncidentalELE,コンサルティング事業営業費用、附帯事業営業費用、電気事業,Operating expenses - consulting business,Operating expenses-consulting business-OE-incidental-ELE
197,jppfs_cor:OperatingExpensesInformationAndCommunicationBusinessOEIncidentalELE,情報通信事業営業費用、附帯事業営業費用、電気事業,Operating expenses - information and communication business,Operating expenses-information and communication business-OE-incidental-ELE
198,jppfs_cor:OperatingExpensesSteamSupplyBusinessOEIncidentalELE,蒸気供給事業営業費用、附帯事業営業費用、電気事業,Operating expenses - steam supply business,Operating expenses-steam supply business-OE-incidental-ELE
199,jppfs_cor:OperatingExpensesLNGSupplyBusinessOEIncidentalELE,ＬＮＧ供給事業営業費用、附帯事業営業費用、電気事業,Operating expenses - LNG supply business,Operating expenses-LNG supply business-OE-incidental-ELE
200,jppfs_cor:OperatingExpensesCoalSaleBusinessOEIncidentalELE,石炭販売事業営業費用、附帯事業営業費用、電気事業,Operating expenses - coal sale business,Operating expenses-coal sale business-OE-incidental-ELE
201,jppfs_cor:OperatingExpensesOpticalFiberElectricWireLeaseBusinessOEIncidentalELE,光ファイバ心線貸し事業営業費用、附帯事業営業費用、電気事業,Operating expenses - optical fiber electric wire lease business,Operating expenses-optical fiber electric wire lease business-OE-incidental-ELE
202,jppfs_cor:OperatingExpensesHouseElectrificationMachineryLeaseBusinessOEIncidentalELE,住宅電化設備賃貸事業営業費用、附帯事業営業費用、電気事業,Operating expenses - house electrification machinery lease business,Operating expenses-house electrification machinery lease business-OE-incidental-ELE
203,jppfs_cor:OperatingExpensesElectricWireLeaseBusinessOEIncidentalELE,心線賃貸事業営業費用、附帯事業営業費用、電気事業,Operating expenses - electric wire lease business,Operating expenses-electric wire lease business-OE-incidental-ELE
204,jppfs_cor:OtherBusinessOperatingExpensesELE,その他事業営業費用、電気事業,Other business operating expenses,Other business operating expenses-ELE
205,jppfs_cor:OperatingIncome,営業利益又は営業損失（△）,Operating profit (loss),Operating profit (loss)
206,jppfs_cor:NonOperatingIncome,営業外収益,Non-operating income,Non-operating income
207,jppfs_cor:FinancialRevenueNORELE,財務収益、営業外収益、電気事業,Financial revenue,Financial revenue-NOR-ELE
208,jppfs_cor:DividendsIncomeNOI,受取配当金、営業外収益,Dividend income,Dividend income-NOI
209,jppfs_cor:InterestIncomeNOI,受取利息、営業外収益,Interest income,Interest income-NOI
210,jppfs_cor:EquityInEarningsOfAffiliatesNOI,持分法による投資利益、営業外収益,Share of profit of entities accounted for using equity method,Share of profit of entities accounted for using equity method-NOI
211,jppfs_cor:NonOperatingRevenueNORELE,事業外収益、営業外収益、電気事業,Non-operating revenue,Non-operating revenue-NOR-ELE
212,jppfs_cor:GainOnSalesOfNoncurrentAssetsNOIELE,固定資産売却益、営業外収益、電気事業,Gain on sales of non-current assets,Gain on sales of non-current assets-NOI-ELE
213,jppfs_cor:MiscellaneousRevenueNORELE,雑収益、営業外収益、電気事業,Miscellaneous revenue,Miscellaneous revenue-NOR-ELE
214,jppfs_cor:NonOperatingExpenses,営業外費用,Non-operating expenses,Non-operating expenses
215,jppfs_cor:FinancialExpensesNOEELE,財務費用、営業外費用、電気事業,Financial expenses,Financial expenses-NOE-ELE
216,jppfs_cor:InterestExpensesNOE,支払利息、営業外費用,Interest expenses,Interest expenses-NOE
217,jppfs_cor:StockIssuanceCostNOE,株式交付費、営業外費用,Share issuance cost,Share issuance cost-NOE
218,jppfs_cor:AmortizationOfStockIssuanceCostNOE,株式交付費償却、営業外費用,Amortization of share issuance cost,Amortization of share issuance cost-NOE
219,jppfs_cor:AmortizationOfStockIssuanceCostPriorNOE,新株発行費償却、営業外費用,Amortization of share issuance cost,Amortization of share issuance cost-prior-NOE
220,jppfs_cor:BondIssuanceCostNOE,社債発行費、営業外費用,Bond issuance cost,Bond issuance cost-NOE
221,jppfs_cor:AmortizationOfBondIssuanceCostNOE,社債発行費償却、営業外費用,Amortization of bond issuance cost,Amortization of bond issuance cost-NOE
222,jppfs_cor:EquityInLossesOfAffiliatesNOE,持分法による投資損失、営業外費用,Share of loss of entities accounted for using equity method,Share of loss of entities accounted for using equity method-NOE
223,jppfs_cor:NonOperatingExpensesNOEELE,事業外費用、営業外費用、電気事業,Non-operating expenses,Non-operating expenses-NOE-ELE
224,jppfs_cor:LossOnSalesOfNoncurrentAssetsNOEELE,固定資産売却損、営業外費用、電気事業,Loss on sales of non-current assets,Loss on sales of non-current assets-NOE-ELE
225,jppfs_cor:MiscellaneousExpensesNOEELE,雑損失、営業外費用、電気事業,Miscellaneous loss,Miscellaneous loss-NOE-ELE
226,jppfs_cor:OrdinaryRevenueELE,当期経常収益、電気事業,Ordinary revenue,Ordinary revenue-ELE
227,jppfs_cor:OrdinaryExpensesELE,当期経常費用、電気事業,Ordinary expenses,Ordinary expenses-ELE
228,jppfs_cor:OrdinaryIncome,経常利益又は経常損失（△）,Ordinary profit (loss),Ordinary profit (loss)
229,jppfs_cor:ProvisionOrReversalOfReserveForFluctuationInWaterLevelsAbstractELE,渇水準備金引当又は取崩し、電気事業 [タイトル項目],Provision or reversal of reserve for fluctuation in water levels,Provision or reversal of reserve for fluctuation in water levels-ELE [abstract]
230,jppfs_cor:ProvisionOrReversalOfReserveForFluctuationInWaterLevelsELE,渇水準備金引当又は取崩し、電気事業,Provision or reversal of reserve for fluctuation in water levels,Provision or reversal of reserve for fluctuation in water levels-ELE
231,jppfs_cor:ProvisionOfReserveForFluctuationInWaterLevelsELE,渇水準備金引当、電気事業,Provision of reserve for fluctuation in water levels,Provision of reserve for fluctuation in water levels-ELE
232,jppfs_cor:ReversalOfReserveForFluctuationInWaterLevelsELE,渇水準備引当金取崩し（貸方）、電気事業,Reversal of reserve for fluctuation in water levels,Reversal of reserve for fluctuation in water levels-ELE
233,jppfs_cor:ProvisionOrReversalOfReserveForPreparationOfTheDepreciationOfNuclearPowerConstructionAbstractELE,原子力発電工事償却準備金引当又は取崩し、電気事業 [タイトル項目],Provision or reversal of reserve for preparation of depreciation of nuclear power construction,Provision or reversal of reserve for preparation of depreciation of nuclear power construction-ELE [abstract]
234,jppfs_cor:ProvisionOrReversalOfReserveForPreparationOfTheDepreciationOfNuclearPowerConstructionELE,原子力発電工事償却準備金引当又は取崩し、電気事業,Provision or reversal of reserve for preparation of depreciation of nuclear power construction,Provision or reversal of reserve for preparation of depreciation of nuclear power construction-ELE
235,jppfs_cor:ProvisionOfReserveForPreparationOfTheDepreciationOfNuclearPowerConstructionELE,原子力発電工事償却準備金引当、電気事業,Provision of reserve for preparation of depreciation of nuclear power construction,Provision of reserve for preparation of depreciation of nuclear power construction-ELE
236,jppfs_cor:ReversalOfReserveForPreparationOfTheDepreciationOfNuclearPowerConstructionELE,原子力発電工事償却準備金取崩し（貸方）、電気事業,Reversal of reserve for preparation of depreciation of nuclear power construction,Reversal of reserve for preparation of depreciation of nuclear power construction-ELE
237,jppfs_cor:ExtraordinaryIncome,特別利益,Extraordinary income,Extraordinary income
238,jppfs_cor:NuclearPowerCompensationSubsidyELE,原子力損害賠償資金補助金、特別利益、電気事業,Nuclear power compensation subsidy,Nuclear power compensation subsidy-ELE
239,jppfs_cor:GrantsInAidFromNuclearDamageCompensationFacilitationCorporationEIELE,原賠・廃炉等支援機構資金交付金、特別利益、電気事業,Grants-in-aid from Nuclear Damage Liability and Nuclear Reactor Decommission Facilitation Fund,Grants-in-aid from Nuclear Damage Liability and Nuclear Reactor Decommission Facilitation Fund-EI-ELE
240,jppfs_cor:ExtraordinaryLoss,特別損失,Extraordinary losses,Extraordinary losses
241,jppfs_cor:ContingentLossELELE,財産偶発損、特別損失、電気事業,Contingent loss,Contingent loss-EL-ELE
242,jppfs_cor:IncomeBeforeIncomeTaxes,税引前当期純利益又は税引前当期純損失（△）,Profit (loss) before income taxes,Profit (loss) before income taxes
243,jppfs_cor:IncomeTaxes,法人税等,Income taxes,Income taxes
244,jppfs_cor:IncomeTaxesCurrent,法人税、住民税及び事業税,Income taxes - current,Income taxes-current
245,jppfs_cor:IncomeTaxesCurrentELE,法人税及び住民税、電気事業,Income taxes - current,Income taxes-current-ELE
246,jppfs_cor:IncomeTaxesDeferred,法人税等調整額,Income taxes - deferred,Income taxes-deferred
247,jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Profit (loss),Profit (loss) (after amendment dated 2014-03-28)
248,jppfs_cor:ProfitAttributableToAbstract,内訳、当期純利益 [タイトル項目],Profit attributable to,Profit attributable to [abstract]
249,jppfs_cor:ProfitLossAttributableToNonControllingInterests,非支配株主に帰属する当期純利益又は非支配株主に帰属する当期純損失（△）,Profit (loss) attributable to non-controlling interests,Profit (loss) attributable to non-controlling interests
250,jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,Profit (loss) attributable to owners of parent,Profit (loss) attributable to owners of parent
251,nan,,,
252,nan,,,
253,名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
254,jppfs_cor:StatementOfChangesInEquityAbstract,株主資本等変動計算書 [タイトル項目],Statement of changes in equity,Statement of changes in equity [abstract]
255,jppfs_cor:StatementOfChangesInEquityTable,株主資本等変動計算書 [表],Statement of changes in equity,Statement of changes in equity [table]
256,jppfs_cor:ComponentsOfEquityAxis,純資産の内訳項目 [軸],Components of equity,Components of equity [axis]
257,jppfs_cor:NetAssetsMember,純資産 [メンバー],Net assets,Net assets [member]
258,jppfs_cor:ShareholdersEquityMember,株主資本 [メンバー],Shareholders' equity,Shareholders' equity [member]
259,jppfs_cor:CapitalStockMember,資本金 [メンバー],Capital stock,Capital stock [member]
260,jppfs_cor:CapitalSurplusMember,資本剰余金 [メンバー],Capital surplus,Capital surplus [member]
261,jppfs_cor:LegalCapitalSurplusMember,資本準備金 [メンバー],Legal capital surplus,Legal capital surplus [member]
262,jppfs_cor:OtherCapitalSurplusMember,その他資本剰余金 [メンバー],Other capital surplus,Other capital surplus [member]
263,jppfs_cor:RetainedEarningsMember,利益剰余金 [メンバー],Retained earnings,Retained earnings [member]
264,jppfs_cor:LegalRetainedEarningsMember,利益準備金 [メンバー],Legal retained earnings,Legal retained earnings [member]
265,jppfs_cor:OtherRetainedEarningsMember,その他利益剰余金 [メンバー],Other retained earnings,Other retained earnings [member]
266,jppfs_cor:ReserveForAdjustmentOfCostFluctuationsELEMember,原価変動調整積立金、電気事業 [メンバー],Reserve for adjustment of cost fluctuations,Reserve for adjustment of cost fluctuations-ELE [member]
267,jppfs_cor:ReserveForSpecialDisasterELEMember,特定災害防止準備金、電気事業 [メンバー],Reserve for special disaster,Reserve for special disaster-ELE [member]
268,jppfs_cor:RetainedEarningsBroughtForwardMember,繰越利益剰余金 [メンバー],Retained earnings brought forward,Retained earnings brought forward [member]
269,jppfs_cor:TreasuryStockMember,自己株式 [メンバー],Treasury shares,Treasury shares [member]
270,jppfs_cor:ValuationAndTranslationAdjustmentsMember,評価・換算差額等 [メンバー],Valuation and translation adjustments,Valuation and translation adjustments [member]
271,jppfs_cor:ValuationDifferenceOnAvailableForSaleSecuritiesMember,その他有価証券評価差額金 [メンバー],Valuation difference on available-for-sale securities,Valuation difference on available-for-sale securities [member]
272,jppfs_cor:DeferredGainsOrLossesOnHedgesMember,繰延ヘッジ損益 [メンバー],Deferred gains or losses on hedges,Deferred gains or losses on hedges [member]
273,jppfs_cor:RevaluationReserveForLandMember,土地再評価差額金 [メンバー],Revaluation reserve for land,Revaluation reserve for land [member]
274,jppfs_cor:ForeignCurrencyTranslationAdjustmentMember,為替換算調整勘定 [メンバー],Foreign currency translation adjustment,Foreign currency translation adjustment [member]
275,jppfs_cor:SubscriptionRightsToSharesMember,新株予約権 [メンバー],Share acquisition rights,Share acquisition rights [member]
276,jppfs_cor:NonControllingInterestsMember,非支配株主持分 [メンバー],Non-controlling interests,Non-controlling interests [member]
277,jppfs_cor:StatementOfChangesInEquityLineItems,株主資本等変動計算書 [表示項目],Statement of changes in equity,Statement of changes in equity [line items]
278,jppfs_cor:NetAssets,純資産,Net assets,Net assets
279,jppfs_cor:ChangesOfItemsDuringThePeriodAbstract,当期変動額 [タイトル項目],Changes of items during period,Changes of items during period [abstract]
280,jppfs_cor:IssuanceOfNewShares,新株の発行,Issuance of new shares,Issuance of new shares
281,jppfs_cor:DividendsFromSurplus,剰余金の配当,Dividends of surplus,Dividends of surplus
282,jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,Profit (loss) attributable to owners of parent,Profit (loss) attributable to owners of parent
283,jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Profit (loss),Profit (loss) (after amendment dated 2014-03-28)
284,jppfs_cor:DisposalOfTreasuryStock,自己株式の処分,Disposal of treasury shares,Disposal of treasury shares
285,jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,Net changes of items other than shareholders' equity,Net changes of items other than shareholders' equity
286,jppfs_cor:ProvisionOfReserveForAdjustmentOfCostFluctuationsELE,原価変動調整積立金の積立、電気事業,Provision of reserve for adjustment of cost fluctuations,Provision of reserve for adjustment of cost fluctuations-ELE
287,jppfs_cor:ReversalOfReserveForAdjustmentOfCostFluctuationsELE,原価変動調整積立金の取崩、電気事業,Reversal of reserve for adjustment of cost fluctuations,Reversal of reserve for adjustment of cost fluctuations-ELE
288,jppfs_cor:ProvisionOfReserveForSpecialDisasterELE,特定災害防止準備金の積立、電気事業,Provision of reserve for special disaster,Provision of reserve for special disaster-ELE
289,jppfs_cor:ReversalOfReserveForSpecialDisasterELE,特定災害防止準備金の取崩、電気事業,Reversal of reserve for special disaster,Reversal of reserve for special disaster-ELE
290,jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Total changes of items during period,Total changes of items during period
291,nan,,,
292,nan,,,
293,名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
294,jppfs_cor:StatementOfCashFlowsAbstract,キャッシュ・フロー計算書 [タイトル項目],Statement of cash flows,Statement of cash flows [abstract]
295,jppfs_cor:StatementOfCashFlowsTable,キャッシュ・フロー計算書 [表],Statement of cash flows,Statement of cash flows [table]
296,jppfs_cor:StatementOfCashFlowsLineItems,キャッシュ・フロー計算書 [表示項目],Statement of cash flows,Statement of cash flows [line items]
297,jppfs_cor:NetCashProvidedByUsedInOperatingActivitiesAbstract,営業活動によるキャッシュ・フロー [タイトル項目],Cash flows from operating activities,Cash flows from operating activities [abstract]
298,jppfs_cor:SubtotalOpeCF,小計、営業活動によるキャッシュ・フロー,Subtotal,Subtotal-OpeCF
299,jppfs_cor:AmortizationOfNuclearFuelOpeCFELE,核燃料減損額、営業活動によるキャッシュ・フロー、電気事業,Amortization of nuclear fuel,Amortization of nuclear fuel-OpeCF-ELE
300,jppfs_cor:DecommissioningCostsOfNuclearPowerUnitsOpeCFELE,原子力発電施設解体費、営業活動によるキャッシュ・フロー、電気事業,Decommissioning costs of nuclear power units,Decommissioning costs of nuclear power units-OpeCF-ELE
301,jppfs_cor:IncreaseDecreaseInReserveForFluctuationInWaterLevelsOpeCFELE,渇水準備引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー、電気事業,Increase (decrease) in reserve for fluctuation in water levels,Increase (decrease) in reserve for fluctuation in water levels-OpeCF-ELE
302,jppfs_cor:IncreaseDecreaseInProvisionForDecommissioningOfNuclearPowerUnitsOpeCFELE,原子力発電施設解体引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー、電気事業,Increase (decrease) in provision for decommissioning of nuclear power units,Increase (decrease) in provision for decommissioning of nuclear power units-OpeCF-ELE
303,jppfs_cor:TransferCostOfReprocessingOfIrradiatedNuclearFuelOpeCFELE,使用済燃料再処理等費振替額、営業活動によるキャッシュ・フロー、電気事業,Transfer cost of reprocessing of irradiated nuclear fuel,Transfer cost of reprocessing of irradiated nuclear fuel-OpeCF-ELE
304,jppfs_cor:IncreaseDecreaseInProvisionForReprocessingOfIrradiatedNuclearFuelOpeCFELE,使用済燃料再処理等引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー、電気事業,Increase (decrease) in provision for reprocessing of irradiated nuclear fuel,Increase (decrease) in provision for reprocessing of irradiated nuclear fuel-OpeCF-ELE
305,jppfs_cor:DecreaseIncreaseInReserveFundForReprocessingOfIrradiatedNuclearFuelOpeCFELE,使用済燃料再処理等積立金の増減額（△は増加）、営業活動によるキャッシュ・フロー、電気事業,Decrease (increase) in reserve fund for reprocessing of irradiated nuclear fuel,Decrease (increase) in reserve fund for reprocessing of irradiated nuclear fuel-OpeCF-ELE
306,jppfs_cor:IncreaseDecreaseInProvisionForOtherReprocessingOfIrradiatedNuclearFuelOpeCFELE,使用済燃料再処理等準備引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー、電気事業,Increase (decrease) in provision for other reprocessing of irradiated nuclear fuel,Increase (decrease) in provision for other reprocessing of irradiated nuclear fuel-OpeCF-ELE
307,jppfs_cor:IncreaseDecreaseInReserveForPreparationOfTheDepreciationOfNuclearPowerConstructionOpeCFELE,原子力発電工事償却準備引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー、電気事業,Increase (decrease) in reserve for preparation of depreciation of nuclear power construction,Increase (decrease) in reserve for preparation of depreciation of nuclear power construction-OpeCF-ELE
308,jppfs_cor:NetCashProvidedByUsedInInvestmentActivitiesAbstract,投資活動によるキャッシュ・フロー [タイトル項目],Cash flows from investing activities,Cash flows from investing activities [abstract]
309,jppfs_cor:NetCashProvidedByUsedInFinancingActivitiesAbstract,財務活動によるキャッシュ・フロー [タイトル項目],Cash flows from financing activities,Cash flows from financing activities [abstract]
